geoName,geoCode,value,topic,date
Chattanooga TN,575,0,Transportation,2021-03-28
Columbus GA,522,0,Transportation,2021-03-28
Dothan AL,606,0,Transportation,2021-03-28
Jacksonville FL,561,0,Transportation,2021-03-28
Macon GA,503,0,Transportation,2021-03-28
Savannah GA,507,0,Transportation,2021-03-28
Tallahassee FL-Thomasville GA,530,92,Transportation,2021-03-28
Albany GA,525,91,Transportation,2021-03-29
Atlanta GA,524,38,Transportation,2021-03-29
Augusta GA,520,0,Transportation,2021-03-29
Chattanooga TN,575,0,Transportation,2021-03-29
Columbus GA,522,0,Transportation,2021-03-29
Dothan AL,606,0,Transportation,2021-03-29
Jacksonville FL,561,0,Transportation,2021-03-29
Macon GA,503,100,Transportation,2021-03-29
Savannah GA,507,0,Transportation,2021-03-29
Tallahassee FL-Thomasville GA,530,0,Transportation,2021-03-29
Albany GA,525,94,Transportation,2021-03-30
Atlanta GA,524,46,Transportation,2021-03-30
Augusta GA,520,41,Transportation,2021-03-30
Chattanooga TN,575,0,Transportation,2021-03-30
Columbus GA,522,0,Transportation,2021-03-30
Dothan AL,606,0,Transportation,2021-03-30
Jacksonville FL,561,0,Transportation,2021-03-30
Macon GA,503,100,Transportation,2021-03-30
Savannah GA,507,56,Transportation,2021-03-30
Tallahassee FL-Thomasville GA,530,0,Transportation,2021-03-30
Albany GA,525,0,Transportation,2021-03-31
Atlanta GA,524,66,Transportation,2021-03-31
Augusta GA,520,72,Transportation,2021-03-31
Chattanooga TN,575,56,Transportation,2021-03-31
Columbus GA,522,0,Transportation,2021-03-31
Dothan AL,606,0,Transportation,2021-03-31
Jacksonville FL,561,0,Transportation,2021-03-31
Macon GA,503,0,Transportation,2021-03-31
Savannah GA,507,100,Transportation,2021-03-31
Tallahassee FL-Thomasville GA,530,65,Transportation,2021-03-31
Albany GA,525,0,Domestic Violence,2021-03-01
Atlanta GA,524,26,Domestic Violence,2021-03-01
Augusta GA,520,0,Domestic Violence,2021-03-01
Chattanooga TN,575,100,Domestic Violence,2021-03-01
Columbus GA,522,0,Domestic Violence,2021-03-01
Dothan AL,606,0,Domestic Violence,2021-03-01
Jacksonville FL,561,0,Domestic Violence,2021-03-01
Macon GA,503,0,Domestic Violence,2021-03-01
Savannah GA,507,0,Domestic Violence,2021-03-01
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-01
Albany GA,525,0,Domestic Violence,2021-03-02
Atlanta GA,524,100,Domestic Violence,2021-03-02
Augusta GA,520,0,Domestic Violence,2021-03-02
Chattanooga TN,575,0,Domestic Violence,2021-03-02
Columbus GA,522,0,Domestic Violence,2021-03-02
Dothan AL,606,0,Domestic Violence,2021-03-02
Jacksonville FL,561,0,Domestic Violence,2021-03-02
Macon GA,503,0,Domestic Violence,2021-03-02
Savannah GA,507,0,Domestic Violence,2021-03-02
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-02
Albany GA,525,0,Domestic Violence,2021-03-03
Atlanta GA,524,0,Domestic Violence,2021-03-03
Augusta GA,520,0,Domestic Violence,2021-03-03
Chattanooga TN,575,0,Domestic Violence,2021-03-03
Columbus GA,522,0,Domestic Violence,2021-03-03
Dothan AL,606,0,Domestic Violence,2021-03-03
Jacksonville FL,561,0,Domestic Violence,2021-03-03
Macon GA,503,100,Domestic Violence,2021-03-03
Savannah GA,507,0,Domestic Violence,2021-03-03
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-03
Albany GA,525,0,Domestic Violence,2021-03-04
Atlanta GA,524,6,Domestic Violence,2021-03-04
Augusta GA,520,0,Domestic Violence,2021-03-04
Chattanooga TN,575,0,Domestic Violence,2021-03-04
Columbus GA,522,0,Domestic Violence,2021-03-04
Dothan AL,606,0,Domestic Violence,2021-03-04
Jacksonville FL,561,0,Domestic Violence,2021-03-04
Macon GA,503,100,Domestic Violence,2021-03-04
Savannah GA,507,60,Domestic Violence,2021-03-04
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-04
Albany GA,525,0,Domestic Violence,2021-03-05
Atlanta GA,524,19,Domestic Violence,2021-03-05
Augusta GA,520,0,Domestic Violence,2021-03-05
Chattanooga TN,575,0,Domestic Violence,2021-03-05
Columbus GA,522,0,Domestic Violence,2021-03-05
Dothan AL,606,0,Domestic Violence,2021-03-05
Jacksonville FL,561,0,Domestic Violence,2021-03-05
Macon GA,503,0,Domestic Violence,2021-03-05
Savannah GA,507,100,Domestic Violence,2021-03-05
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-05
Albany GA,525,0,Domestic Violence,2021-03-06
Atlanta GA,524,100,Domestic Violence,2021-03-06
Augusta GA,520,0,Domestic Violence,2021-03-06
Chattanooga TN,575,0,Domestic Violence,2021-03-06
Columbus GA,522,0,Domestic Violence,2021-03-06
Dothan AL,606,0,Domestic Violence,2021-03-06
Jacksonville FL,561,0,Domestic Violence,2021-03-06
Macon GA,503,0,Domestic Violence,2021-03-06
Savannah GA,507,0,Domestic Violence,2021-03-06
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-06
Albany GA,525,0,Domestic Violence,2021-03-07
Atlanta GA,524,10,Domestic Violence,2021-03-07
Augusta GA,520,0,Domestic Violence,2021-03-07
Chattanooga TN,575,0,Domestic Violence,2021-03-07
Columbus GA,522,0,Domestic Violence,2021-03-07
Dothan AL,606,0,Domestic Violence,2021-03-07
Jacksonville FL,561,0,Domestic Violence,2021-03-07
Macon GA,503,0,Domestic Violence,2021-03-07
Savannah GA,507,100,Domestic Violence,2021-03-07
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-07
Albany GA,525,100,Domestic Violence,2021-03-08
Atlanta GA,524,9,Domestic Violence,2021-03-08
Augusta GA,520,0,Domestic Violence,2021-03-08
Chattanooga TN,575,0,Domestic Violence,2021-03-08
Columbus GA,522,0,Domestic Violence,2021-03-08
Dothan AL,606,0,Domestic Violence,2021-03-08
Jacksonville FL,561,14,Domestic Violence,2021-03-08
Macon GA,503,0,Domestic Violence,2021-03-08
Savannah GA,507,0,Domestic Violence,2021-03-08
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-08
Albany GA,525,0,Domestic Violence,2021-03-09
Atlanta GA,524,100,Domestic Violence,2021-03-09
Augusta GA,520,0,Domestic Violence,2021-03-09
Chattanooga TN,575,0,Domestic Violence,2021-03-09
Columbus GA,522,0,Domestic Violence,2021-03-09
Dothan AL,606,0,Domestic Violence,2021-03-09
Jacksonville FL,561,0,Domestic Violence,2021-03-09
Macon GA,503,0,Domestic Violence,2021-03-09
Savannah GA,507,0,Domestic Violence,2021-03-09
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-09
Albany GA,525,0,Domestic Violence,2021-03-10
Atlanta GA,524,100,Domestic Violence,2021-03-10
Augusta GA,520,0,Domestic Violence,2021-03-10
Chattanooga TN,575,0,Domestic Violence,2021-03-10
Columbus GA,522,0,Domestic Violence,2021-03-10
Dothan AL,606,0,Domestic Violence,2021-03-10
Jacksonville FL,561,0,Domestic Violence,2021-03-10
Macon GA,503,0,Domestic Violence,2021-03-10
Savannah GA,507,0,Domestic Violence,2021-03-10
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-10
Albany GA,525,0,Domestic Violence,2021-03-11
Atlanta GA,524,100,Domestic Violence,2021-03-11
Augusta GA,520,0,Domestic Violence,2021-03-11
Chattanooga TN,575,0,Domestic Violence,2021-03-11
Columbus GA,522,0,Domestic Violence,2021-03-11
Dothan AL,606,0,Domestic Violence,2021-03-11
Jacksonville FL,561,0,Domestic Violence,2021-03-11
Macon GA,503,0,Domestic Violence,2021-03-11
Savannah GA,507,0,Domestic Violence,2021-03-11
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-11
Albany GA,525,0,Domestic Violence,2021-03-12
Atlanta GA,524,100,Domestic Violence,2021-03-12
Augusta GA,520,0,Domestic Violence,2021-03-12
Chattanooga TN,575,0,Domestic Violence,2021-03-12
Columbus GA,522,0,Domestic Violence,2021-03-12
Dothan AL,606,0,Domestic Violence,2021-03-12
Jacksonville FL,561,0,Domestic Violence,2021-03-12
Macon GA,503,0,Domestic Violence,2021-03-12
Savannah GA,507,0,Domestic Violence,2021-03-12
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-12
Albany GA,525,0,Domestic Violence,2021-03-13
Atlanta GA,524,22,Domestic Violence,2021-03-13
Augusta GA,520,0,Domestic Violence,2021-03-13
Chattanooga TN,575,0,Domestic Violence,2021-03-13
Columbus GA,522,0,Domestic Violence,2021-03-13
Dothan AL,606,0,Domestic Violence,2021-03-13
Jacksonville FL,561,0,Domestic Violence,2021-03-13
Macon GA,503,100,Domestic Violence,2021-03-13
Savannah GA,507,0,Domestic Violence,2021-03-13
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-13
Albany GA,525,0,Domestic Violence,2021-03-14
Atlanta GA,524,11,Domestic Violence,2021-03-14
Augusta GA,520,0,Domestic Violence,2021-03-14
Chattanooga TN,575,0,Domestic Violence,2021-03-14
Columbus GA,522,0,Domestic Violence,2021-03-14
Dothan AL,606,0,Domestic Violence,2021-03-14
Jacksonville FL,561,0,Domestic Violence,2021-03-14
Macon GA,503,100,Domestic Violence,2021-03-14
Savannah GA,507,60,Domestic Violence,2021-03-14
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-14
Albany GA,525,0,Domestic Violence,2021-03-15
Atlanta GA,524,24,Domestic Violence,2021-03-15
Augusta GA,520,0,Domestic Violence,2021-03-15
Chattanooga TN,575,0,Domestic Violence,2021-03-15
Columbus GA,522,0,Domestic Violence,2021-03-15
Dothan AL,606,0,Domestic Violence,2021-03-15
Jacksonville FL,561,0,Domestic Violence,2021-03-15
Macon GA,503,100,Domestic Violence,2021-03-15
Savannah GA,507,0,Domestic Violence,2021-03-15
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-15
Albany GA,525,0,Domestic Violence,2021-03-16
Atlanta GA,524,11,Domestic Violence,2021-03-16
Augusta GA,520,86,Domestic Violence,2021-03-16
Chattanooga TN,575,0,Domestic Violence,2021-03-16
Columbus GA,522,0,Domestic Violence,2021-03-16
Dothan AL,606,0,Domestic Violence,2021-03-16
Jacksonville FL,561,0,Domestic Violence,2021-03-16
Macon GA,503,100,Domestic Violence,2021-03-16
Savannah GA,507,0,Domestic Violence,2021-03-16
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-16
Albany GA,525,0,Domestic Violence,2021-03-17
Atlanta GA,524,7,Domestic Violence,2021-03-17
Augusta GA,520,0,Domestic Violence,2021-03-17
Chattanooga TN,575,0,Domestic Violence,2021-03-17
Columbus GA,522,0,Domestic Violence,2021-03-17
Dothan AL,606,0,Domestic Violence,2021-03-17
Jacksonville FL,561,0,Domestic Violence,2021-03-17
Macon GA,503,0,Domestic Violence,2021-03-17
Savannah GA,507,0,Domestic Violence,2021-03-17
Tallahassee FL-Thomasville GA,530,100,Domestic Violence,2021-03-17
Albany GA,525,0,Domestic Violence,2021-03-18
Atlanta GA,524,6,Domestic Violence,2021-03-18
Augusta GA,520,0,Domestic Violence,2021-03-18
Chattanooga TN,575,0,Domestic Violence,2021-03-18
Columbus GA,522,0,Domestic Violence,2021-03-18
Dothan AL,606,0,Domestic Violence,2021-03-18
Jacksonville FL,561,0,Domestic Violence,2021-03-18
Macon GA,503,100,Domestic Violence,2021-03-18
Savannah GA,507,0,Domestic Violence,2021-03-18
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-18
Albany GA,525,0,Domestic Violence,2021-03-19
Atlanta GA,524,0,Domestic Violence,2021-03-19
Augusta GA,520,0,Domestic Violence,2021-03-19
Chattanooga TN,575,0,Domestic Violence,2021-03-19
Columbus GA,522,0,Domestic Violence,2021-03-19
Dothan AL,606,0,Domestic Violence,2021-03-19
Jacksonville FL,561,0,Domestic Violence,2021-03-19
Macon GA,503,100,Domestic Violence,2021-03-19
Savannah GA,507,58,Domestic Violence,2021-03-19
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-19
Albany GA,525,100,Domestic Violence,2021-03-20
Atlanta GA,524,0,Domestic Violence,2021-03-20
Augusta GA,520,0,Domestic Violence,2021-03-20
Chattanooga TN,575,0,Domestic Violence,2021-03-20
Columbus GA,522,0,Domestic Violence,2021-03-20
Dothan AL,606,0,Domestic Violence,2021-03-20
Jacksonville FL,561,0,Domestic Violence,2021-03-20
Macon GA,503,0,Domestic Violence,2021-03-20
Savannah GA,507,0,Domestic Violence,2021-03-20
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-20
Albany GA,525,100,Domestic Violence,2021-03-21
Atlanta GA,524,0,Domestic Violence,2021-03-21
Augusta GA,520,0,Domestic Violence,2021-03-21
Chattanooga TN,575,0,Domestic Violence,2021-03-21
Columbus GA,522,0,Domestic Violence,2021-03-21
Dothan AL,606,0,Domestic Violence,2021-03-21
Jacksonville FL,561,0,Domestic Violence,2021-03-21
Macon GA,503,0,Domestic Violence,2021-03-21
Savannah GA,507,30,Domestic Violence,2021-03-21
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-21
Albany GA,525,0,Domestic Violence,2021-03-22
Atlanta GA,524,7,Domestic Violence,2021-03-22
Augusta GA,520,100,Domestic Violence,2021-03-22
Chattanooga TN,575,0,Domestic Violence,2021-03-22
Columbus GA,522,0,Domestic Violence,2021-03-22
Dothan AL,606,0,Domestic Violence,2021-03-22
Jacksonville FL,561,0,Domestic Violence,2021-03-22
Macon GA,503,0,Domestic Violence,2021-03-22
Savannah GA,507,0,Domestic Violence,2021-03-22
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-22
Albany GA,525,0,Domestic Violence,2021-03-23
Atlanta GA,524,13,Domestic Violence,2021-03-23
Augusta GA,520,100,Domestic Violence,2021-03-23
Chattanooga TN,575,0,Domestic Violence,2021-03-23
Columbus GA,522,0,Domestic Violence,2021-03-23
Dothan AL,606,0,Domestic Violence,2021-03-23
Jacksonville FL,561,0,Domestic Violence,2021-03-23
Macon GA,503,0,Domestic Violence,2021-03-23
Savannah GA,507,69,Domestic Violence,2021-03-23
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-23
Albany GA,525,0,Domestic Violence,2021-03-24
Atlanta GA,524,100,Domestic Violence,2021-03-24
Augusta GA,520,0,Domestic Violence,2021-03-24
Chattanooga TN,575,0,Domestic Violence,2021-03-24
Columbus GA,522,0,Domestic Violence,2021-03-24
Dothan AL,606,0,Domestic Violence,2021-03-24
Jacksonville FL,561,0,Domestic Violence,2021-03-24
Macon GA,503,0,Domestic Violence,2021-03-24
Savannah GA,507,0,Domestic Violence,2021-03-24
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-24
Albany GA,525,0,Domestic Violence,2021-03-25
Atlanta GA,524,0,Domestic Violence,2021-03-25
Augusta GA,520,0,Domestic Violence,2021-03-25
Chattanooga TN,575,0,Domestic Violence,2021-03-25
Columbus GA,522,0,Domestic Violence,2021-03-25
Dothan AL,606,0,Domestic Violence,2021-03-25
Jacksonville FL,561,0,Domestic Violence,2021-03-25
Macon GA,503,0,Domestic Violence,2021-03-25
Savannah GA,507,0,Domestic Violence,2021-03-25
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-25
Albany GA,525,0,Domestic Violence,2021-03-26
Atlanta GA,524,100,Domestic Violence,2021-03-26
Augusta GA,520,0,Domestic Violence,2021-03-26
Chattanooga TN,575,0,Domestic Violence,2021-03-26
Columbus GA,522,0,Domestic Violence,2021-03-26
Dothan AL,606,0,Domestic Violence,2021-03-26
Jacksonville FL,561,0,Domestic Violence,2021-03-26
Macon GA,503,0,Domestic Violence,2021-03-26
Savannah GA,507,0,Domestic Violence,2021-03-26
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-26
Albany GA,525,0,Domestic Violence,2021-03-27
Atlanta GA,524,100,Domestic Violence,2021-03-27
Augusta GA,520,0,Domestic Violence,2021-03-27
Chattanooga TN,575,0,Domestic Violence,2021-03-27
Columbus GA,522,0,Domestic Violence,2021-03-27
Dothan AL,606,0,Domestic Violence,2021-03-27
Jacksonville FL,561,0,Domestic Violence,2021-03-27
Macon GA,503,0,Domestic Violence,2021-03-27
Savannah GA,507,0,Domestic Violence,2021-03-27
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-27
Albany GA,525,0,Domestic Violence,2021-03-28
Atlanta GA,524,7,Domestic Violence,2021-03-28
Augusta GA,520,100,Domestic Violence,2021-03-28
Chattanooga TN,575,0,Domestic Violence,2021-03-28
Columbus GA,522,0,Domestic Violence,2021-03-28
Dothan AL,606,0,Domestic Violence,2021-03-28
Jacksonville FL,561,0,Domestic Violence,2021-03-28
Macon GA,503,0,Domestic Violence,2021-03-28
Savannah GA,507,0,Domestic Violence,2021-03-28
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-28
Albany GA,525,0,Domestic Violence,2021-03-29
Atlanta GA,524,30,Domestic Violence,2021-03-29
Augusta GA,520,0,Domestic Violence,2021-03-29
Chattanooga TN,575,0,Domestic Violence,2021-03-29
Columbus GA,522,0,Domestic Violence,2021-03-29
Dothan AL,606,0,Domestic Violence,2021-03-29
Jacksonville FL,561,0,Domestic Violence,2021-03-29
Macon GA,503,0,Domestic Violence,2021-03-29
Savannah GA,507,0,Domestic Violence,2021-03-29
Tallahassee FL-Thomasville GA,530,100,Domestic Violence,2021-03-29
Albany GA,525,0,Domestic Violence,2021-03-30
Atlanta GA,524,13,Domestic Violence,2021-03-30
Augusta GA,520,100,Domestic Violence,2021-03-30
Chattanooga TN,575,0,Domestic Violence,2021-03-30
Columbus GA,522,0,Domestic Violence,2021-03-30
Dothan AL,606,0,Domestic Violence,2021-03-30
Jacksonville FL,561,0,Domestic Violence,2021-03-30
Macon GA,503,0,Domestic Violence,2021-03-30
Savannah GA,507,0,Domestic Violence,2021-03-30
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-30
Albany GA,525,0,Domestic Violence,2021-03-31
Atlanta GA,524,11,Domestic Violence,2021-03-31
Augusta GA,520,83,Domestic Violence,2021-03-31
Chattanooga TN,575,0,Domestic Violence,2021-03-31
Columbus GA,522,0,Domestic Violence,2021-03-31
Dothan AL,606,0,Domestic Violence,2021-03-31
Jacksonville FL,561,0,Domestic Violence,2021-03-31
Macon GA,503,100,Domestic Violence,2021-03-31
Savannah GA,507,0,Domestic Violence,2021-03-31
Tallahassee FL-Thomasville GA,530,0,Domestic Violence,2021-03-31
Albany GA,525,0,Food,2020-02-01
Atlanta GA,524,100,Food,2020-02-01
Augusta GA,520,0,Food,2020-02-01
Chattanooga TN,575,0,Food,2020-02-01
Columbus GA,522,0,Food,2020-02-01
Dothan AL,606,0,Food,2020-02-01
Jacksonville FL,561,0,Food,2020-02-01
Macon GA,503,0,Food,2020-02-01
Savannah GA,507,0,Food,2020-02-01
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-01
Albany GA,525,0,Food,2020-02-02
Atlanta GA,524,73,Food,2020-02-02
Augusta GA,520,0,Food,2020-02-02
Chattanooga TN,575,100,Food,2020-02-02
Columbus GA,522,0,Food,2020-02-02
Dothan AL,606,0,Food,2020-02-02
Jacksonville FL,561,0,Food,2020-02-02
Macon GA,503,0,Food,2020-02-02
Savannah GA,507,0,Food,2020-02-02
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-02
Albany GA,525,0,Food,2020-02-03
Atlanta GA,524,36,Food,2020-02-03
Augusta GA,520,86,Food,2020-02-03
Chattanooga TN,575,0,Food,2020-02-03
Columbus GA,522,0,Food,2020-02-03
Dothan AL,606,0,Food,2020-02-03
Jacksonville FL,561,0,Food,2020-02-03
Macon GA,503,100,Food,2020-02-03
Savannah GA,507,0,Food,2020-02-03
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-03
Albany GA,525,0,Food,2020-02-04
Atlanta GA,524,100,Food,2020-02-04
Augusta GA,520,0,Food,2020-02-04
Chattanooga TN,575,0,Food,2020-02-04
Columbus GA,522,0,Food,2020-02-04
Dothan AL,606,0,Food,2020-02-04
Jacksonville FL,561,0,Food,2020-02-04
Macon GA,503,0,Food,2020-02-04
Savannah GA,507,0,Food,2020-02-04
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-04
Albany GA,525,0,Food,2020-02-05
Atlanta GA,524,47,Food,2020-02-05
Augusta GA,520,0,Food,2020-02-05
Chattanooga TN,575,51,Food,2020-02-05
Columbus GA,522,0,Food,2020-02-05
Dothan AL,606,0,Food,2020-02-05
Jacksonville FL,561,0,Food,2020-02-05
Macon GA,503,0,Food,2020-02-05
Savannah GA,507,100,Food,2020-02-05
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-05
Albany GA,525,0,Food,2020-02-06
Atlanta GA,524,69,Food,2020-02-06
Augusta GA,520,0,Food,2020-02-06
Chattanooga TN,575,100,Food,2020-02-06
Columbus GA,522,0,Food,2020-02-06
Dothan AL,606,0,Food,2020-02-06
Jacksonville FL,561,0,Food,2020-02-06
Macon GA,503,0,Food,2020-02-06
Savannah GA,507,94,Food,2020-02-06
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-06
Albany GA,525,0,Food,2020-02-07
Atlanta GA,524,68,Food,2020-02-07
Augusta GA,520,0,Food,2020-02-07
Chattanooga TN,575,0,Food,2020-02-07
Columbus GA,522,0,Food,2020-02-07
Dothan AL,606,0,Food,2020-02-07
Jacksonville FL,561,100,Food,2020-02-07
Macon GA,503,0,Food,2020-02-07
Savannah GA,507,0,Food,2020-02-07
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-07
Albany GA,525,0,Food,2020-02-08
Atlanta GA,524,36,Food,2020-02-08
Augusta GA,520,100,Food,2020-02-08
Chattanooga TN,575,0,Food,2020-02-08
Columbus GA,522,0,Food,2020-02-08
Dothan AL,606,0,Food,2020-02-08
Jacksonville FL,561,0,Food,2020-02-08
Macon GA,503,0,Food,2020-02-08
Savannah GA,507,0,Food,2020-02-08
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-08
Albany GA,525,0,Food,2020-02-09
Atlanta GA,524,52,Food,2020-02-09
Augusta GA,520,100,Food,2020-02-09
Chattanooga TN,575,73,Food,2020-02-09
Columbus GA,522,0,Food,2020-02-09
Dothan AL,606,0,Food,2020-02-09
Jacksonville FL,561,0,Food,2020-02-09
Macon GA,503,0,Food,2020-02-09
Savannah GA,507,0,Food,2020-02-09
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-09
Albany GA,525,0,Food,2020-02-10
Atlanta GA,524,18,Food,2020-02-10
Augusta GA,520,0,Food,2020-02-10
Chattanooga TN,575,0,Food,2020-02-10
Columbus GA,522,0,Food,2020-02-10
Dothan AL,606,0,Food,2020-02-10
Jacksonville FL,561,0,Food,2020-02-10
Macon GA,503,100,Food,2020-02-10
Savannah GA,507,0,Food,2020-02-10
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-10
Albany GA,525,100,Food,2020-02-11
Atlanta GA,524,19,Food,2020-02-11
Augusta GA,520,46,Food,2020-02-11
Chattanooga TN,575,0,Food,2020-02-11
Columbus GA,522,0,Food,2020-02-11
Dothan AL,606,0,Food,2020-02-11
Jacksonville FL,561,0,Food,2020-02-11
Macon GA,503,51,Food,2020-02-11
Savannah GA,507,31,Food,2020-02-11
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-11
Albany GA,525,100,Food,2020-02-12
Atlanta GA,524,19,Food,2020-02-12
Augusta GA,520,90,Food,2020-02-12
Chattanooga TN,575,0,Food,2020-02-12
Columbus GA,522,0,Food,2020-02-12
Dothan AL,606,0,Food,2020-02-12
Jacksonville FL,561,0,Food,2020-02-12
Macon GA,503,0,Food,2020-02-12
Savannah GA,507,0,Food,2020-02-12
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-12
Albany GA,525,100,Food,2020-02-13
Atlanta GA,524,22,Food,2020-02-13
Augusta GA,520,0,Food,2020-02-13
Chattanooga TN,575,0,Food,2020-02-13
Columbus GA,522,0,Food,2020-02-13
Dothan AL,606,0,Food,2020-02-13
Jacksonville FL,561,0,Food,2020-02-13
Macon GA,503,52,Food,2020-02-13
Savannah GA,507,0,Food,2020-02-13
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-13
Albany GA,525,0,Food,2020-02-14
Atlanta GA,524,12,Food,2020-02-14
Augusta GA,520,84,Food,2020-02-14
Chattanooga TN,575,0,Food,2020-02-14
Columbus GA,522,0,Food,2020-02-14
Dothan AL,606,0,Food,2020-02-14
Jacksonville FL,561,0,Food,2020-02-14
Macon GA,503,100,Food,2020-02-14
Savannah GA,507,0,Food,2020-02-14
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-14
Albany GA,525,0,Food,2020-02-15
Atlanta GA,524,7,Food,2020-02-15
Augusta GA,520,100,Food,2020-02-15
Chattanooga TN,575,0,Food,2020-02-15
Columbus GA,522,0,Food,2020-02-15
Dothan AL,606,0,Food,2020-02-15
Jacksonville FL,561,0,Food,2020-02-15
Macon GA,503,0,Food,2020-02-15
Savannah GA,507,64,Food,2020-02-15
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-15
Albany GA,525,0,Food,2020-02-16
Atlanta GA,524,100,Food,2020-02-16
Augusta GA,520,0,Food,2020-02-16
Chattanooga TN,575,0,Food,2020-02-16
Columbus GA,522,0,Food,2020-02-16
Dothan AL,606,0,Food,2020-02-16
Jacksonville FL,561,0,Food,2020-02-16
Macon GA,503,0,Food,2020-02-16
Savannah GA,507,0,Food,2020-02-16
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-16
Albany GA,525,0,Food,2020-02-17
Atlanta GA,524,66,Food,2020-02-17
Augusta GA,520,100,Food,2020-02-17
Chattanooga TN,575,0,Food,2020-02-17
Columbus GA,522,0,Food,2020-02-17
Dothan AL,606,0,Food,2020-02-17
Jacksonville FL,561,63,Food,2020-02-17
Macon GA,503,0,Food,2020-02-17
Savannah GA,507,0,Food,2020-02-17
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-17
Albany GA,525,0,Food,2020-02-18
Atlanta GA,524,74,Food,2020-02-18
Augusta GA,520,100,Food,2020-02-18
Chattanooga TN,575,0,Food,2020-02-18
Columbus GA,522,0,Food,2020-02-18
Dothan AL,606,0,Food,2020-02-18
Jacksonville FL,561,32,Food,2020-02-18
Macon GA,503,0,Food,2020-02-18
Savannah GA,507,0,Food,2020-02-18
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-18
Albany GA,525,0,Food,2020-02-19
Atlanta GA,524,43,Food,2020-02-19
Augusta GA,520,0,Food,2020-02-19
Chattanooga TN,575,0,Food,2020-02-19
Columbus GA,522,0,Food,2020-02-19
Dothan AL,606,0,Food,2020-02-19
Jacksonville FL,561,0,Food,2020-02-19
Macon GA,503,100,Food,2020-02-19
Savannah GA,507,59,Food,2020-02-19
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-19
Albany GA,525,0,Food,2020-02-20
Atlanta GA,524,22,Food,2020-02-20
Augusta GA,520,100,Food,2020-02-20
Chattanooga TN,575,0,Food,2020-02-20
Columbus GA,522,0,Food,2020-02-20
Dothan AL,606,0,Food,2020-02-20
Jacksonville FL,561,0,Food,2020-02-20
Macon GA,503,0,Food,2020-02-20
Savannah GA,507,0,Food,2020-02-20
Tallahassee FL-Thomasville GA,530,0,Food,2020-02-20
Albany GA,525,0,Food,2020-02-21
Atlanta GA,524,19,Food,2020-02-21
Augusta GA,520,0,Food,2020-02-21
Chattanooga TN,575,0,Food,2020-02-21
Columbus GA,522,0,Food,2020-02-21
Dothan AL,606,0,Food,2020-02-21
Jacksonville FL,561,0,Food,2020-02-21
