geoName,geoCode,value,topic,date
Tallahassee FL-Thomasville GA,530,24,Housing,2020-02-12
Albany GA,525,100,Housing,2020-02-13
Atlanta GA,524,37,Housing,2020-02-13
Augusta GA,520,46,Housing,2020-02-13
Chattanooga TN,575,0,Housing,2020-02-13
Columbus GA,522,26,Housing,2020-02-13
Dothan AL,606,0,Housing,2020-02-13
Jacksonville FL,561,7,Housing,2020-02-13
Macon GA,503,26,Housing,2020-02-13
Savannah GA,507,31,Housing,2020-02-13
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-13
Albany GA,525,100,Housing,2020-02-14
Atlanta GA,524,29,Housing,2020-02-14
Augusta GA,520,21,Housing,2020-02-14
Chattanooga TN,575,0,Housing,2020-02-14
Columbus GA,522,0,Housing,2020-02-14
Dothan AL,606,0,Housing,2020-02-14
Jacksonville FL,561,0,Housing,2020-02-14
Macon GA,503,0,Housing,2020-02-14
Savannah GA,507,43,Housing,2020-02-14
Tallahassee FL-Thomasville GA,530,37,Housing,2020-02-14
Albany GA,525,0,Housing,2020-02-15
Atlanta GA,524,100,Housing,2020-02-15
Augusta GA,520,0,Housing,2020-02-15
Chattanooga TN,575,0,Housing,2020-02-15
Columbus GA,522,0,Housing,2020-02-15
Dothan AL,606,0,Housing,2020-02-15
Jacksonville FL,561,0,Housing,2020-02-15
Macon GA,503,64,Housing,2020-02-15
Savannah GA,507,71,Housing,2020-02-15
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-15
Albany GA,525,0,Housing,2020-02-16
Atlanta GA,524,33,Housing,2020-02-16
Augusta GA,520,17,Housing,2020-02-16
Chattanooga TN,575,12,Housing,2020-02-16
Columbus GA,522,40,Housing,2020-02-16
Dothan AL,606,0,Housing,2020-02-16
Jacksonville FL,561,0,Housing,2020-02-16
Macon GA,503,100,Housing,2020-02-16
Savannah GA,507,11,Housing,2020-02-16
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-16
Albany GA,525,75,Housing,2020-02-17
Atlanta GA,524,49,Housing,2020-02-17
Augusta GA,520,35,Housing,2020-02-17
Chattanooga TN,575,0,Housing,2020-02-17
Columbus GA,522,97,Housing,2020-02-17
